Altium Designer Pick and Place Locations
E:\GitProject\ArmDebuger\PCB\231009_ArmDebuger_V0.5(LHS)\Project Outputs for ArmDebuger_V0.5\Pick Place for ArmDebuger.csv

========================================================================================================================
File Design Information:

Date:       10/10/23
Time:       17:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"ED5","KESD3.3V52D-C","BottomLayer","SOD-523","9.6266","8.7630","90",""
"ED8","KESD3.3V52D-C","BottomLayer","SOD-523","23.7490","8.7630","90",""
"ED7","KESD3.3V52D-C","BottomLayer","SOD-523","21.7678","8.7630","90",""
"ED6","KESD3.3V52D-C","BottomLayer","SOD-523","14.7066","8.7630","90",""
"ED4","KESD3.3V52D-C","BottomLayer","SOD-523","19.7866","8.7630","90",""
"ED3","KESD3.3V52D-C","BottomLayer","SOD-523","17.2466","8.7630","90",""
"ED2","KESD3.3V52D-C","BottomLayer","SOD-523","12.1666","8.7630","90",""
"ED1","KESD3.3V52D-C","BottomLayer","SOD-523","7.0866","8.7630","90",""
"JP5","HEADER9","BottomLayer","Header-1x9","17.2555","5.2722","180",""
"C54","106/X5R/10V","BottomLayer","0402C-SMD-M","27.1809","8.4510","90",""
"C53","106/X5R/10V","BottomLayer","0402C-SMD-M","28.2085","8.4510","90",""
"C52","106/X5R/10V","BottomLayer","0402C-SMD-M","26.1534","8.4510","90",""
"C51","106/X5R/10V","BottomLayer","0402C-SMD-M","25.1259","8.4510","90",""
"C50","106/X5R/10V","TopLayer","0402C-SMD-M","29.7207","26.8478","270",""
"C49","106/X5R/10V","TopLayer","0402C-SMD-M","29.7180","28.5496","90",""
"F2","FUSE  6V/500mA","TopLayer","0805R-SMD-M","25.4002","8.1681","180",""
"U9","ME6211C33","TopLayer","SOT-23-5","30.9973","7.2687","180",""
"U10","RS2255XN","BottomLayer","MSOP-10-L","17.4770","19.4648","0",""
"R27","10K","BottomLayer","0402R-SMD-M","3.7084","17.7910","0",""
"C45","104/X7R/16V","TopLayer","0402C-SMD-M","33.5534","10.3717","180",""
"C47","106/X5R/10V","TopLayer","0402C-SMD-M","27.3591","8.2003","90",""
"C46","106/X5R/10V","TopLayer","0402C-SMD-M","33.5534","9.4657","180",""
"C48","104/X7R/16V","TopLayer","0402C-SMD-M","28.2427","8.2003","270",""
"C44","104/X7R/16V","BottomLayer","0402C-SMD-M","21.7224","18.9389","180",""
"U8","RS2255XN","BottomLayer","MSOP-10-L","17.4770","16.0955","0",""
"C43","104/X7R/16V","BottomLayer","0402C-SMD-M","21.7220","16.3096","180",""
"U7","NC(CH340E)","BottomLayer","MSOP-10-L","7.8468","20.6169","180",""
"R66","NC(0R)","BottomLayer","0402R-SMD-M","6.4618","23.2664","270",""
"R65","0R","TopLayer","0402R-SMD-M","23.3934","21.3106","270",""
"R64","NC(0R)","BottomLayer","0402R-SMD-M","5.4102","23.2664","270",""
"R61","0R","TopLayer","0402R-SMD-M","22.3012","21.3106","270",""
"C42","104/X7R/16V","BottomLayer","0402C-SMD-M","3.7084","20.8415","0",""
"C41","104/X7R/16V","BottomLayer","0402C-SMD-M","3.7084","19.8924","0",""
"R60","100R","TopLayer","0402R-SMD-M","23.3084","10.0330","90",""
"R57","100R","TopLayer","0402R-SMD-M","1.2446","7.4922","180",""
"R56","100R","BottomLayer","0402R-SMD-M","12.6238","12.5468","0",""
"R55","100R","TopLayer","0402R-SMD-M","12.4206","10.0838","90",""
"R48","100R","TopLayer","0402R-SMD-M","18.4089","10.0838","90",""
"R11","100R","TopLayer","0402R-SMD-M","21.7424","10.0838","90",""
"R6","100R","BottomLayer","0402R-SMD-M","21.6916","10.5830","180",""
"C40","104/X7R/16V","BottomLayer","0402C-SMD-M","11.1506","28.3718","180",""
"D2","LED-RGB-SMD","BottomLayer","LED-SMD-6P","17.0974","12.4740","90",""
"R54","10K","BottomLayer","0402R-SMD-M","21.6916","13.4947","180",""
"U35","AG1280Q48","TopLayer","QFN6X6-48","18.5674","16.1036","90",""
"U25","ME6211C12","BottomLayer","SOT-23-5","27.1048","27.6860","0",""
"U2","ME6211C33","TopLayer","SOT-23-5","27.0843","27.6655","0",""
"R120","1K","BottomLayer","0402R-SMD-M","3.7084","23.0446","0",""
"R119","NC(0R)","BottomLayer","0402R-SMD-M","3.7084","21.9938","0",""
"R5","0R","BottomLayer","0402R-SMD-M","28.3679","25.4780","180",""
"R4","0R","TopLayer","0402R-SMD-M","23.5834","25.5353","180",""
"JP17","HEADER8","TopLayer","HEADER4X2-1.27MM","1.3462","23.2156","90",""
"F1","FUSE  6V/500mA","BottomLayer","0805R-SMD-M","23.6997","28.1973","90",""
"C229","104/X7R/16V","TopLayer","0402C-SMD-M","19.4523","10.0838","270",""
"C228","104/X7R/16V","TopLayer","0402C-SMD-M","18.0086","21.3156","270",""
"C227","104/X7R/16V","TopLayer","0402C-SMD-M","17.0942","21.3156","270",""
"C224","104/X7R/16V","TopLayer","0402C-SMD-M","14.8405","12.2936","0",""
"C223","104/X7R/16V","TopLayer","0402C-SMD-M","19.5834","21.3106","270",""
"C172","104/X7R/16V","BottomLayer","0402C-SMD-M","21.7224","18.0352","0",""
"C105","104/X7R/16V","TopLayer","0402C-SMD-M","20.4958","10.0838","90",""
"C39","106/X5R/10V","BottomLayer","0402C-SMD-M","11.1506","27.4066","0",""
"C38","106/X5R/10V","BottomLayer","0402C-SMD-M","11.1506","26.4414","0",""
"C6","106/X5R/10V","BottomLayer","0402C-SMD-M","29.7207","26.8478","270",""
"C5","106/X5R/10V","BottomLayer","0402C-SMD-M","23.6728","25.2181","180",""
"C4","104/X7R/16V","BottomLayer","0402C-SMD-M","23.6728","26.1366","180",""
"C2","106/X5R/10V","TopLayer","0402C-SMD-M","23.0500","28.7865","270",""
"R69","100R","TopLayer","0402R-SMD-M","25.8064","10.0330","270",""
"R68","10K","BottomLayer","0402R-SMD-M","21.7220","17.1724","0",""
